runid,timestamp,partnum,equipid,hv,mag,wd,det,hfw,curr,tilt,feat1,feat2,feat3
3482359,5/14/2018 8:22:08.0,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:11.7,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:15.4,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:19.1,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3.01,3.2
3482359,5/14/2018 8:22:22.8,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:26.5,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:30.2,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:33.9,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.201
3482359,5/14/2018 8:22:37.6,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:41.3,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:45.0,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:48.7,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.201
3482359,5/14/2018 8:22:52.4,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:56.1,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:22:59.8,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:23:03.5,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3.02,2.98,3.193
3482359,5/14/2018 8:23:07.2,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:23:10.9,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
3482359,5/14/2018 8:23:14.6,238-07,10021,2,10000,6.9753,T1,20.7,50,52,3,3,3.2
