runid,timestamp,partnum,equipid,hv,mag,wd,det,tilt,feat1,feat2,feat3,particle
8572,11/13/2014 10:52:04.9,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 10:59:48.5,1095-00,10083,2,562,11,SE1,0,2.5,2,2,"831,153,12,41;432,232,10,8"
8572,11/13/2014 11:07:32.2,1095-00,10083,2,562,11,SE1,0,2.5,2,2,"488,14,28,20"
8572,11/13/2014 11:15:15.9,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 11:22:59.6,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 11:30:43.3,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 11:38:26.9,1095-00,10083,2,562,11,SE1,0,2.5,1.99,2,
8572,11/13/2014 11:46:10.6,1095-00,10083,2,562,11,SE1,0,2.5,1.98,2,
8572,11/13/2014 11:53:54.3,1095-00,10083,2,562,11,SE1,0,2.5,1.99,2,
8572,11/13/2014 12:01:38.0,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 12:09:21.7,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 12:17:05.3,1095-00,10083,2,562,11,SE1,0,2.5,2.01,2,
8572,11/13/2014 12:24:49.0,1095-00,10083,2,562,11,SE1,0,2.5,2.02,2,
8572,11/13/2014 12:32:32.7,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 12:40:16.4,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8572,11/13/2014 12:48:00.1,1095-00,10083,2,562,11,SE1,0,2.5,1.99,2,
